vessel_id,name,eta,size_teu,cargo_type,priority,origin_port,origin_lat,origin_lon
V001,CSCL Pacific Star 001,2026-09-19 05:03,10003,general,4,Rotterdam,51.92,4.48
V002,MAERSK Global Trader 002,2026-09-19 12:03,6130,general,3,Kaohsiung,22.62,120.28
V003,YANG Pacific Star 003,2026-09-19 19:03,8932,reefer,2,Tokyo,35.68,139.69
V004,COSCO Wave Runner 004,2026-09-20 02:03,12026,bulk,3,Ningbo,29.87,121.55
V005,CMA Wave Runner 005,2026-09-20 09:03,5960,bulk,2,Ningbo,29.87,121.55
V006,CSCL Harbor Queen 006,2026-09-20 16:03,14472,general,2,Qingdao,36.07,120.38
V007,MAERSK Ocean Pride 007,2026-09-20 23:03,18100,general,1,Rotterdam,51.92,4.48
V008,YANG Harbor Queen 008,2026-09-21 06:03,8885,general,4,Busan,35.1,129.04
V009,CSCL Port Leader 009,2026-09-21 13:03,13556,general,4,Shenzhen,22.54,114.06
V010,MSC Harbor Queen 010,2026-09-21 20:03,8745,general,5,Rotterdam,51.92,4.48
V011,CSCL Blue Horizon 011,2026-09-22 03:03,7002,general,3,Rotterdam,51.92,4.48
